denom,cases,primary,pm25,pmcoarse,hs_orless,poverty
8,0,0,NA,NA,NA,NA
406,1,0,NA,NA,NA,NA
207,2,0,NA,NA,NA,NA
206,2,0,NA,NA,NA,NA
3,0,0,NA,NA,NA,NA
242,0,0,NA,NA,NA,NA
33,0,0,NA,NA,NA,NA
4086,28,0,8.34681254038636,24.5213653084148,29,7.9
5685,30,1,8.26153737940277,25.1153144773034,38.6,10.4
2812,17,0,8.29842595566957,20.7036636487525,19.7,2.8
39,0,0,NA,NA,NA,NA
8,0,0,NA,NA,NA,NA
54,0,0,NA,NA,NA,NA
88,3,0,NA,NA,NA,NA
3129,21,0,7.87428271874682,23.557684309209,25.6,6.6
3959,21,0,7.31945440447648,22.2246902064213,23.2,6
4,0,0,NA,NA,NA,NA
155,2,0,NA,NA,NA,NA
16,0,0,NA,NA,NA,NA
57,0,0,NA,NA,NA,NA
99,0,0,NA,NA,NA,NA
23,0,0,NA,NA,NA,NA
1,0,0,NA,NA,NA,NA
158,2,0,NA,NA,NA,NA
52,1,1,NA,NA,NA,NA
318,1,0,NA,NA,NA,NA
2,0,0,NA,NA,NA,NA
157,1,0,NA,NA,NA,NA
3,0,0,NA,NA,NA,NA
11630,73,1,8.24073086383775,22.6022377341106,24.3,2.5
4880,29,0,8.02717906331598,22.8722655198721,16.8,3
3929,44,0,6.92381769426606,19.6071305543059,19.9,2.4
6206,65,0,7.58143201759619,21.8804012489789,27.8,7.5
364,4,0,NA,NA,NA,NA
3649,24,1,7.12332833499214,19.8432735798311,10.6,6.9
6577,60,0,6.87758357832138,19.9524239216797,17.6,3.4
6526,60,2,5.75493634203696,15.6620069710632,12.6,3.3
513,9,0,6.33732830872833,17.1155130632876,67.3,19.4
5444,45,0,7.80001409017981,22.5776785829228,35.4,10.9
6421,70,1,6.89321106567958,20.0146620319588,15.6,3.2
3406,32,0,6.00229475459781,16.6330341675201,12.3,2.5
5951,58,2,6.71736671510199,19.7728485399471,16.1,3.9
363,3,0,NA,NA,NA,NA
2309,14,1,5.125214041249,12.9098452417231,14,1.8
1042,9,0,4.55475674125265,11.454353208479,17.8,12.2
84,0,0,4.97998012275572,13.2287790714367,47.6,19.2
2491,11,0,5.74398909609893,15.3954918499247,15.3,3.6
271,1,0,NA,NA,NA,NA
5770,48,0,5.7173683222599,15.6408975049216,24.1,3
448,2,0,NA,NA,NA,NA
146,4,0,NA,NA,NA,NA
8,0,0,NA,NA,NA,NA
41,0,0,NA,NA,NA,NA
136,1,0,NA,NA,NA,NA
185,1,0,NA,NA,NA,NA
221,2,0,NA,NA,NA,NA
7,0,0,NA,NA,NA,NA
71,0,0,NA,NA,NA,NA
3017,12,0,8.2446592969836,24.5185667347962,31.8,20.5
6715,48,0,8.70351597035908,26.6477926197908,27.6,13.8
4810,28,0,8.51524690712787,24.5722194119162,28.5,12.2
2115,13,0,8.54226639251277,24.3161904931332,10.5,2.8
283,2,0,NA,NA,NA,NA
1951,12,0,8.01450250451659,22.8733427992877,20.2,2.3
5,0,0,NA,NA,NA,NA
1,0,0,NA,NA,NA,NA
41,0,0,NA,NA,NA,NA
9,0,0,NA,NA,NA,NA
19,0,0,NA,NA,NA,NA
1680,8,3,7.48240627263998,22.4244581844055,22.1,3.9
2371,25,1,7.4581122438553,22.5248335763751,22.3,2.7
1182,7,1,7.49349677800197,22.0334077613025,18.2,3.5
2489,16,0,7.51944469338212,21.7573330457455,18.3,3.8
247,0,0,NA,NA,NA,NA
6316,22,1,8.3874063774876,24.4257345571417,63.6,29.5
5280,25,2,8.07758296988626,23.1804423585295,40.1,9.6
2102,18,3,8.05682583680593,22.4797473337159,54.8,16.1
3696,30,1,7.76191075368987,22.0430472519853,37.3,7.5
746,19,2,7.92334238190848,22.1099905475255,37.6,6.2
3107,25,0,7.50732843025363,21.2294353630482,37.3,7.7
574,9,0,7.58725836796594,20.279016358181,44.7,10.4
7405,30,1,7.34587501232031,21.2104559297381,28.5,4.5
1,0,0,7.62874409531767,20.5455000972642,30,NA
1983,8,0,6.74296538293089,18.4887937524802,26.7,4.3
246,5,0,NA,NA,NA,NA
299,0,0,NA,NA,NA,NA
255,1,0,NA,NA,NA,NA
220,0,0,5.75397269033361,16.9193384958442,65.1,18.4
1090,7,0,11.97476499409,27.4973104956633,63.4,35.9
119,2,0,8.93287938372979,24.0309084586268,66.6,32
2623,19,1,8.18559061617114,21.682139544442,62.4,18.6
864,2,0,4.84226816507457,11.4224483406996,42.3,10.6
424,2,1,5.21042221486092,18.906723020045,62.5,2.6
4195,20,0,8.63956983638127,21.7764823316151,51.1,14
696,3,0,NA,NA,NA,NA
50,0,0,6.07130663454275,25.3646422601042,76.3,0
557,2,0,NA,NA,NA,NA
3336,13,0,5.37655880674344,13.6530587861237,16.1,2.7
777,6,0,5.04987981211787,13.2245761457246,48.3,13.5
127,0,0,8.56648859527152,25.6449512050093,58.9,41.9
216,0,0,5.53524790830621,23.5467179527921,71.8,17.4
2462,13,0,7.49792719517949,20.6402007517222,54.8,19.2
131,0,0,8.97687379889148,35.5013968681755,61.7,39.2
308,1,0,9.70269804417936,24.9587352117011,74,27.4
3609,20,4,8.29473659680159,21.3781687881435,37.5,6.6
2138,12,0,8.70471200645104,20.9576039231135,39.6,8
2801,12,1,7.65716906492432,20.1686016629079,31.4,5.8
201,0,0,14.7918696747821,36.8979879035759,NA,NA
390,4,0,5.63322969435333,14.3125295012562,54.2,10.4
52,1,0,8.25214081326886,21.8069254126153,31,13.2
1856,7,0,4.80476416110705,17.6050467212526,58.3,16.2
7212,50,0,7.92843545548736,22.7808497525484,48,11.3
881,8,0,5.59207268319443,21.5738191411293,38.8,4.3
61,0,0,8.44819807737789,27.9408241209342,54.5,15.4
825,6,0,5.78195704864497,20.0101591921711,62.5,19.5
2719,5,0,9.21449021628673,35.4996508043067,70.8,32.9
1548,4,0,8.26231306380934,31.0947432683828,72.1,25.5
20119,164,3,7.82023012811617,22.5390917106822,44.6,2.9
143,0,0,8.62501250126939,29.5196583798511,92.2,26.7
1862,5,0,8.34491832953461,22.6303976285027,61.9,11.2
786,2,0,7.45206042560361,21.4679997667731,50.5,10.8
751,2,0,7.07839209537503,17.9647604412222,29,3.2
819,7,0,8.19964990441777,30.2162549761907,64,11.4
122,3,0,5.53512580056954,17.7757488275086,75.8,18.8
917,5,0,NA,NA,NA,NA
493,2,0,NA,NA,NA,NA
81,0,0,4.58324343456332,12.1563599670196,65.8,23.9
950,2,0,6.16803603890807,15.8460007690547,51.4,13.1
331,0,0,4.88814777545722,12.4753278215817,45.2,28.2
1316,15,0,7.73098551876346,21.8288461962033,55.6,11
8735,34,2,8.26447957190229,34.9809190966951,53,18.8
6543,27,0,6.88103667295542,26.363484006675,42.6,12.2
815,5,1,NA,NA,NA,NA
6088,24,0,7.97036900419514,30.4073153850808,50.7,5.9
1,0,0,NA,NA,NA,NA
36,0,0,4.97782700261869,19.6460554927757,73.2,47.3
352,8,0,NA,NA,NA,NA
8086,47,1,7.04108478440607,19.0115160541348,33.9,2.6
13347,86,2,7.34242591727549,19.9449469826103,36.7,7
20131,151,1,6.97259767986378,18.5675932135593,32.1,1.6
247,2,0,NA,NA,NA,NA
1440,17,0,5.5279343204309,14.4366830362485,15.6,7.5
1607,13,0,NA,NA,NA,NA
2586,19,0,7.45243863181674,20.1115099287695,30.9,7.8
327,1,0,NA,NA,NA,NA
3602,19,0,7.71362510816793,21.9133712409242,31.8,2.9
8001,50,2,7.29014108286582,20.2242954218067,30.8,4.2
3153,11,0,5.84340889932618,14.993803626751,22.4,3.3
128,0,0,NA,NA,NA,NA
3306,23,1,6.54228410575349,16.7742900285702,34.5,2.2
1670,4,0,7.24024647482121,19.2174844358539,28.5,5
